CARRIER,DEST,ORIGIN,DAY_WEEK,FLIGHT_STATUS,UPDATED_CRS_DEP_TIME,UPDATED_DEP_TIME,DELAY_IN_MINS
DH,JFK,DCA,4,ontime,16:40,16:40,0
DH,LGA,IAD,4,ontime,12:45,12:45,0
DH,LGA,IAD,4,ontime,17:15,17:09,-6
DH,LGA,IAD,4,ontime,10:39,10:35,-4
DH,JFK,IAD,4,ontime,8:40,8:39,-1
DH,JFK,IAD,4,ontime,12:40,12:43,3
DH,JFK,IAD,4,ontime,16:45,16:44,-1
DH,JFK,IAD,4,ontime,17:15,17:10,-5
DH,JFK,IAD,4,ontime,21:20,21:29,9
DH,LGA,IAD,4,ontime,21:20,21:14,-6
DL,JFK,DCA,4,ontime,14:55,14:58,3
DL,LGA,DCA,4,ontime,9:30,9:32,2
DL,LGA,DCA,4,ontime,12:30,12:28,-2
DL,LGA,DCA,4,ontime,14:30,14:29,-1
DL,LGA,DCA,4,ontime,17:30,17:28,-2
DL,LGA,DCA,4,ontime,20:30,20:29,-1
MQ,JFK,DCA,4,ontime,15:30,15:25,-5
MQ,JFK,DCA,4,ontime,6:00,5:56,-4
MQ,JFK,DCA,4,ontime,18:30,18:22,-8
MQ,LGA,DCA,4,ontime,9:00,8:53,-7
MQ,LGA,DCA,4,ontime,13:00,12:54,-6
MQ,LGA,DCA,4,ontime,14:00,13:56,-4
MQ,LGA,DCA,4,ontime,15:00,14:52,-8
MQ,LGA,DCA,4,ontime,19:00,18:53,-7
UA,LGA,IAD,4,ontime,8:50,8:41,-9
US,LGA,DCA,4,ontime,9:00,8:58,-2
US,LGA,DCA,4,ontime,11:00,10:56,-4
US,LGA,DCA,4,ontime,13:00,12:53,-7
US,LGA,DCA,4,ontime,15:00,14:58,-2
US,LGA,DCA,4,ontime,17:00,16:55,-5
US,LGA,DCA,4,ontime,21:00,20:55,-5
RU,EWR,BWI,4,ontime,14:55,14:52,-3
RU,EWR,BWI,4,ontime,17:20,17:10,-10
RU,EWR,BWI,4,ontime,10:30,10:30,0
RU,EWR,BWI,4,ontime,7:00,6:56,-4
CO,EWR,DCA,4,ontime,13:00,12:56,-4
CO,EWR,DCA,4,ontime,17:30,17:26,-4
DH,EWR,IAD,4,ontime,8:40,8:40,0
DH,EWR,IAD,4,ontime,17:10,17:04,-6
DH,EWR,IAD,4,ontime,12:45,12:45,0
DH,EWR,IAD,4,ontime,21:20,21:18,-2
RU,EWR,IAD,4,ontime,17:00,16:51,-9
RU,EWR,IAD,4,ontime,19:00,18:50,-10
RU,EWR,DCA,4,ontime,15:25,15:21,-4
RU,EWR,DCA,4,ontime,19:00,18:55,-5
RU,EWR,DCA,4,ontime,14:00,13:57,-3
RU,EWR,IAD,4,ontime,15:15,15:08,-7
RU,EWR,IAD,4,ontime,13:00,12:55,-5
RU,EWR,DCA,4,ontime,16:30,16:25,-5
OH,JFK,BWI,5,ontime,14:55,14:55,0
DH,JFK,DCA,5,ontime,16:40,16:41,1
DH,LGA,IAD,5,ontime,12:45,12:49,4
DH,LGA,IAD,5,delayed,14:55,15:31,36
DH,LGA,IAD,5,ontime,17:15,17:12,-3
DH,LGA,IAD,5,ontime,6:40,6:45,5
DH,LGA,IAD,5,delayed,10:39,12:36,117
DH,JFK,IAD,5,ontime,8:40,8:59,19
DH,JFK,IAD,5,ontime,12:40,12:32,-8
DH,JFK,IAD,5,ontime,14:55,14:55,0
DH,JFK,IAD,5,ontime,16:45,16:45,0
DH,JFK,IAD,5,ontime,17:15,17:16,1
DH,JFK,IAD,5,delayed,21:20,23:05,105
DH,JFK,IAD,5,ontime,16:10,16:05,-5
DH,LGA,IAD,5,ontime,21:20,21:18,-2
DL,JFK,DCA,5,ontime,14:55,14:58,3
DL,LGA,DCA,5,ontime,9:30,9:30,0
DL,LGA,DCA,5,ontime,12:30,12:30,0
DL,LGA,DCA,5,ontime,14:30,14:27,-3
DL,LGA,DCA,5,ontime,17:30,17:30,0
DL,LGA,DCA,5,ontime,20:30,20:28,-2
MQ,JFK,DCA,5,ontime,15:30,15:22,-8
MQ,JFK,DCA,5,ontime,6:00,5:52,-8
MQ,JFK,DCA,5,ontime,18:30,18:47,17
MQ,LGA,DCA,5,ontime,9:00,8:52,-8
MQ,LGA,DCA,5,ontime,11:00,10:53,-7
MQ,LGA,DCA,5,ontime,13:00,12:58,-2
MQ,LGA,DCA,5,ontime,14:00,14:02,2
MQ,LGA,DCA,5,ontime,15:00,14:56,-4
UA,LGA,IAD,5,ontime,8:50,8:50,0
US,LGA,DCA,5,ontime,7:00,6:57,-3
US,LGA,DCA,5,ontime,9:00,8:57,-3
US,LGA,DCA,5,ontime,11:00,10:58,-2
US,LGA,DCA,5,ontime,13:00,12:58,-2
US,LGA,DCA,5,ontime,15:00,14:58,-2
US,LGA,DCA,5,ontime,17:00,16:55,-5
US,LGA,DCA,5,ontime,19:00,18:55,-5
US,LGA,DCA,5,ontime,21:00,20:56,-4
RU,EWR,BWI,5,ontime,17:20,17:15,-5
RU,EWR,BWI,5,ontime,10:30,10:30,0
RU,EWR,BWI,5,ontime,7:00,6:56,-4
RU,EWR,BWI,5,ontime,14:55,14:56,1
CO,EWR,DCA,5,ontime,17:30,17:27,-3
CO,EWR,DCA,5,ontime,13:00,13:01,1
CO,EWR,DCA,5,ontime,7:59,7:54,-5
DH,EWR,IAD,5,ontime,8:40,8:37,-3
DH,EWR,IAD,5,delayed,12:45,13:50,65
DH,EWR,IAD,5,delayed,14:30,15:12,42
DH,EWR,IAD,5,ontime,6:30,6:29,-1
RU,EWR,DCA,5,ontime,16:30,16:25,-5
RU,EWR,IAD,5,ontime,7:00,6:55,-5
RU,EWR,DCA,5,ontime,9:00,8:58,-2
RU,EWR,DCA,5,ontime,7:00,6:57,-3
RU,EWR,IAD,5,ontime,17:00,16:50,-10
RU,EWR,IAD,5,ontime,19:00,18:56,-4
RU,EWR,IAD,5,ontime,13:00,12:53,-7
RU,EWR,IAD,5,ontime,9:00,8:54,-6
RU,EWR,DCA,5,ontime,19:00,18:58,-2
RU,EWR,DCA,5,ontime,21:00,20:50,-10
RU,EWR,DCA,5,ontime,14:00,13:58,-2
RU,EWR,IAD,5,delayed,15:15,15:10,-5
RU,EWR,DCA,5,ontime,15:25,15:19,-6
DH,LGA,IAD,6,ontime,12:45,12:43,-2
DH,LGA,IAD,6,ontime,17:15,17:38,23
DH,LGA,IAD,6,ontime,6:40,6:40,0
DH,LGA,IAD,6,ontime,10:39,10:30,-9
DH,JFK,IAD,6,ontime,8:40,8:55,15
DH,JFK,IAD,6,ontime,12:40,12:37,-3
DH,JFK,IAD,6,ontime,14:55,14:55,0
DH,JFK,IAD,6,ontime,16:45,16:54,9
DH,JFK,IAD,6,ontime,17:15,17:41,26
DH,JFK,IAD,6,delayed,21:20,22:13,53
DH,JFK,IAD,6,ontime,16:10,16:04,-6
DH,LGA,IAD,6,ontime,21:20,21:38,18
DL,JFK,DCA,6,delayed,14:55,15:05,10
DL,LGA,DCA,6,ontime,8:30,8:28,-2
DL,LGA,DCA,6,ontime,10:30,10:30,0
DL,LGA,DCA,6,ontime,12:30,12:30,0
DL,LGA,DCA,6,ontime,14:30,14:28,-2
DL,LGA,DCA,6,ontime,16:30,16:29,-1
DL,LGA,DCA,6,ontime,18:30,18:29,-1
DL,LGA,DCA,6,ontime,20:30,20:24,-6
MQ,JFK,DCA,6,delayed,15:30,16:00,30
MQ,JFK,DCA,6,ontime,6:00,5:55,-5
MQ,JFK,DCA,6,ontime,18:30,18:29,-1
MQ,LGA,DCA,6,ontime,9:00,8:55,-5
MQ,LGA,DCA,6,ontime,13:00,12:54,-6
UA,LGA,IAD,6,ontime,8:50,8:49,-1
US,LGA,DCA,6,ontime,7:00,6:55,-5
US,LGA,DCA,6,ontime,9:00,8:58,-2
US,LGA,DCA,6,ontime,11:00,10:59,-1
US,LGA,DCA,6,ontime,13:00,12:56,-4
US,LGA,DCA,6,ontime,15:00,15:00,0
US,LGA,DCA,6,ontime,17:00,16:58,-2
US,LGA,DCA,6,ontime,19:00,18:57,-3
RU,EWR,BWI,6,ontime,17:20,17:14,-6
RU,EWR,BWI,6,ontime,7:00,6:55,-5
RU,EWR,BWI,6,ontime,10:30,10:26,-4
RU,EWR,BWI,6,ontime,14:55,14:48,-7
CO,EWR,DCA,6,ontime,13:00,12:55,-5
DH,EWR,IAD,6,delayed,8:40,8:57,17
DH,EWR,IAD,6,ontime,17:10,17:05,-5
DH,EWR,IAD,6,delayed,12:45,13:29,44
DH,EWR,IAD,6,ontime,21:20,21:26,6
DH,EWR,IAD,6,ontime,6:30,6:25,-5
RU,EWR,IAD,6,ontime,17:25,17:22,-3
RU,EWR,DCA,6,ontime,14:00,13:56,-4
RU,EWR,IAD,6,ontime,7:00,6:58,-2
RU,EWR,DCA,6,ontime,9:30,9:41,11
RU,EWR,DCA,6,ontime,17:30,17:38,8
RU,EWR,DCA,6,ontime,16:00,15:56,-4
